"File","Category","LastWrite","Size"
"test_w6_deep_investigation_report.md","e2e_tests","2026-07-07","21970"
"test_w6_golden_test_fixes_task_card.md","e2e_tests","2026-07-07","19777"
"tiered_auth_loyalty_master_plan.md","tiered_auth_loyalty","2026-07-14","23536"
"tiered_auth_phase0_domain_task_card.md","tiered_auth_loyalty","2026-07-12","5589"
"tiered_auth_phase1_google_oauth_task_card.md","tiered_auth_loyalty","2026-07-12","6406"
"tiered_auth_phase2_verification_gate_task_card.md","tiered_auth_loyalty","2026-07-13","5862"
"tiered_auth_phase3_khachlink_social_ui_task_card.md","tiered_auth_loyalty","2026-07-13","6988"
"tiered_auth_phase4_facebook_oauth_task_card.md","tiered_auth_loyalty","2026-07-12","5619"
"tiered_auth_phase5_zalo_zns_task_card.md","tiered_auth_loyalty","2026-07-12","6749"
"tiered_auth_phase6_e2e_tests_task_card.md","tiered_auth_loyalty","2026-07-12","4973"
"true_offline_edge_accounting_http_task_card.md","hkd_accounting","2026-07-10","9325"
"UNIFIED_ROADMAP_master_plan.md","sprint_planning","2026-06-30","28537"
"vas_enterprise_reports_master_plan.md","saas_vas","2026-07-05","14456"
"vas_wave0_task_card.md","saas_vas","2026-07-04","7864"
"vas_wave1_task_card.md","saas_vas","2026-07-04","11976"
"vas_wave2_task_card.md","saas_vas","2026-07-04","19266"
"vas_wave3_task_card.md","saas_vas","2026-07-04","14040"
"vas_wave4_task_card.md","saas_vas","2026-07-05","5608"
"vas_wave5_task_card.md","saas_vas","2026-07-05","4058"
"vas_wave6_task_card.md","saas_vas","2026-07-05","5900"
"vas_wave7_task_card.md","saas_vas","2026-07-05","3758"
"vas_wave8_task_card.md","saas_vas","2026-07-04","5614"
"vas_wave9_task_card.md","saas_vas","2026-07-04","1965"
"w3_fix_plan.md","wave_general","2026-07-04","16751"
"wave0p5_hkd_fix_arch_decision_data_source_task_card.md","misc","2026-07-03","20433"
"wave0_hkd_fix_preflight_task_card.md","hkd_accounting","2026-07-03","33527"
"WAVE0_Task_Card.md","wave_general","2026-06-27","9016"
"wave1_ci_adr001_check_task_card.md","wave_general","2026-06-29","5048"
"wave1_e2e_remove_reporter_pass_task_card.md","e2e_tests","2026-07-03","6511"
"wave1_einvoice_request_contract_task_card.md","einvoice","2026-07-02","12402"
"wave1_hkd_fix_encoding_mojibake_task_card.md","hkd_accounting","2026-07-03","6419"
"wave1_lead_conversion_fix_task_card.md","wave_general","2026-06-27","8640"
"wave1_pwa_install_fix_task_card.md","wave_general","2026-07-12","6821"
"wave1_shoperp_ui_platform_infra_task_card.md","shoperp_ui","2026-07-03","6832"
"WAVE1_Task_Card.md","wave_general","2026-06-27","7157"
"wave1_tenant_onboarding_abstraction_task_card.md","tenant_onboarding","2026-07-01","7641"
"wave2_arch_drift_fix_task_card.md","wave_general","2026-06-29","5925"
"wave2_e2e_fix_auth_pattern_task_card.md","e2e_tests","2026-07-03","7703"
"wave2_einvoice_viettel_provider_task_card.md","einvoice","2026-07-02","12201"
"wave2_fnb_seed_strategy_task_card.md","wave_general","2026-07-01","7538"
"wave2_health_check_fix_task_card.md","wave_general","2026-06-27","7490"
"wave2_hkd_fix_data_source_bridge_task_card.md","hkd_accounting","2026-07-03","12530"
"wave2_qr_scanning_task_card.md","wave_general","2026-06-29","9301"
"wave2_shoperp_rendermode_task_card.md","shoperp_ui","2026-07-03","4688"
"WAVE2_Task_Card.md","wave_general","2026-06-27","8085"
"wave3_e2e_delete_anti_schema_tests_task_card.md","e2e_tests","2026-07-03","5701"
"wave3_einvoice_misa_provider_task_card.md","einvoice","2026-07-02","9016"
"wave3_hkd_fix_wire_calc_engine_di_task_card.md","hkd_accounting","2026-07-03","11527"
"wave3_product_personalization_task_card.md","wave_general","2026-06-29","9994"
"wave3_shoperp_page_css_task_card.md","shoperp_ui","2026-07-03","7825"
"wave3_shop_api_fix_task_card.md","wave_general","2026-06-27","9017"
"WAVE3_Task_Card.md","wave_general","2026-06-27","8849"
"wave3_tenant_onboarding_orchestrator_task_card.md","tenant_onboarding","2026-07-01","7468"
"wave4_e2e_delete_anti_ui_tests_task_card.md","e2e_tests","2026-07-03","5888"
"wave4_einvoice_sandbox_verify_task_card.md","einvoice","2026-07-02","10442"
"wave4_hkd_fix_route_through_generation_service_task_card.md","hkd_accounting","2026-07-03","7501"
"wave4_order_status_realtime_task_card.md","wave_general","2026-06-29","11987"
"wave4_shoperp_component_consolidation_task_card.md","shoperp_ui","2026-07-03","5626"
"WAVE4_Task_Card.md","wave_general","2026-06-27","8007"
"wave4_tenant_onboarding_gateway_api_task_card.md","tenant_onboarding","2026-07-01","6303"
"wave5a_hkd_fix_account_mapping_pit_task_card.archived.md","hkd_accounting","2026-07-03","11240"
"wave5b_hkd_fix_industry_sector_tax_rates_task_card.archived.md","hkd_accounting","2026-07-03","13895"
"wave5c_hkd_fix_2026_regulatory_compliance_task_card.md","hkd_accounting","2026-07-03","16101"
"wave5_e2e_consolidate_smoke_tests_task_card.md","e2e_tests","2026-07-03","7273"
"wave5_hkd_fix_account_mapping_tax_formulas_task_card.archived.md","hkd_accounting","2026-07-03","9271"
"wave5_hkd_fix_industry_sector_pit_task_card.md","hkd_accounting","2026-07-03","27668"
"wave5_shoperp_admin_layout_task_card.md","shoperp_ui","2026-07-03","5675"
"WAVE5_Task_Card.md","wave_general","2026-06-27","6766"
"wave5_tenant_onboarding_shoperp_ui_task_card.md","tenant_onboarding","2026-07-01","6355"
"wave6_e2e_fix_silent_skip_task_card.md","e2e_tests","2026-07-03","7250"
"wave6_hkd_fix_retrofit_numeric_tests_task_card.md","hkd_accounting","2026-07-03","9142"
"wave6_shoperp_governance_cleanup_task_card.md","shoperp_ui","2026-07-03","7116"
"wave6_tenant_onboarding_validation_docs_task_card.md","tenant_onboarding","2026-07-01","6480"
"wave7_e2e_fix_or_tautology_task_card.md","e2e_tests","2026-07-03","8734"
"wave7_hkd_fix_api_endpoint_di_smoke_task_card.md","hkd_accounting","2026-07-03","7433"
"wave7_root_cause_investigation_log.md","misc","2026-07-04","9120"
"wave8_e2e_regression_prevention_task_card.md","e2e_tests","2026-07-03","8514"
"wave8_hkd_fix_ui_docx_export_regression_task_card.md","hkd_accounting","2026-07-03","11528"
