"Category","Endpoint","Method","Status","Expected","Result","Notes"
"Gateway API","/api/loyalty","GET","404","200","SKIP","Gateway Loyalty [[Authorize]]"
"Gateway API","/api/campaigns","GET","200","200","PASS","Gateway Campaigns [AllowAnonymous]"
"Gateway API","/api/v1/localization","GET","404","200","SKIP","Localization [RequireTenantAccess]"
"Gateway API","/api/v1/shopconfig","GET","404","200","SKIP","Shop Config [RequireTenantAccess]"
"Gateway API","/api/v1/voicecommand","GET","404","200","SKIP","Voice Command [RequireTenantAccess]"
"Gateway API","/api/build","GET","404","200","SKIP","Build Info [RequireTenantAccess]"
"Gateway API","/api/reports","GET","404","200","SKIP","Reports [RequireTenantAccess+Owner]"
"Role-Restricted","/api/kitchen","GET","404","403","SKIP","Kitchen (Masterchef/Staff/Manager only) - expected 403 (SystemAdmin lacks Masterchef/Staff/Manager)"
"Role-Restricted","/api/audittrail","GET","404","403","SKIP","Audit Trail (Admin only) - expected 403 (SystemAdmin lacks Admin)"
"VAS Enterprise","http://localhost:5003/api/balance-sheets?year=2026&month=6","GET","200","200","PASS","Balance Sheet (Enterprise) ? VAS report accessible"
"VAS Enterprise","http://localhost:5003/api/cash-flow-statements?year=2026&month=6","GET","200","200","PASS","Cash Flow (Enterprise) ? VAS report accessible"
"VAS Enterprise","http://localhost:5003/api/income-statements?year=2026&month=6","GET","200","200","PASS","Income Statement (Enterprise) ? VAS report accessible"
"VAS Enterprise","http://localhost:5003/api/trial-balances?year=2026&month=6","GET","200","200","PASS","Trial Balance (Enterprise) ? VAS report accessible"
"SysAdmin API","/api/v1/onboarding/pending","GET","404","200","SKIP","Pending Onboarding Requests"
"SysAdmin API","/api/v1/onboarding/templates","GET","200","200","PASS","Onboarding Templates"
"Impersonation","/api/admin/exit-impersonation","POST","200","200","PASS","Clear tenant_id from Cookie"
