"Category","Endpoint","Method","Status","Expected","Result","Notes"
"Gateway Platform","/api/v1/onboarding/tenants/{id}","GET","404","200/404","PASS","Tenant Onboarding GET stub - 404 OK (auth passed, stub endpoint)"
"Gateway Platform","/api/v1/onboarding/tenants","POST","400","200/400/404","PASS","Tenant Onboarding POST (empty body) - 400 OK (auth passed, validation failed)"
"Gateway Anon","/api/customers","GET","404","200","SKIP","Customers"
"Gateway Anon","/api/shops","GET","404","200","SKIP","Shops"
"Gateway Anon","/api/notifications","GET","404","200","SKIP","Notifications"
"Gateway Anon","/api/loyalty","GET","404","200","SKIP","Loyalty"
"Gateway Anon","/api/campaigns","GET","200","200","PASS","Campaigns"
"Gateway Auth","/api/products","GET","404","200/404","PASS","Products (no root action -> 404=auth OK)"
"Gateway Auth","/api/dashboard","GET","404","200/404","PASS","Dashboard (no root action -> 404=auth OK)"
"Gateway TenantAccess","/api/orders","GET","401","401","FAIL","Orders (tenant_id=system) - 401 (missing/invalid tenant_id)"
"Gateway TenantAccess","/api/accounting","GET","401","401","FAIL","Accounting (tenant_id=system) - 401 (missing/invalid tenant_id)"
"Gateway TenantAccess","/api/hkd-books","GET","401","401","FAIL","HKD Books (tenant_id=system) - 401 (missing/invalid tenant_id)"
"Gateway TenantAccess","/api/v1/localization","GET","404","401","SKIP","Localization (tenant_id=system) - 404 (no root action, auth OK)"
"Gateway TenantAccess","/api/v1/shopconfig","GET","404","401","SKIP","Shop Config (tenant_id=system) - 404 (no root action, auth OK)"
"Gateway TenantAccess","/api/build","GET","404","401","SKIP","Build Info (tenant_id=system) - 404 (no root action, auth OK)"
"Gateway TenantAccess","/api/v1/voicecommand","GET","404","401","SKIP","Voice Command (tenant_id=system) - 404 (no root action, auth OK)"
"Gateway TenantAccess","/api/reports","GET","404","401","SKIP","Reports (tenant_id=system) - 404 (no root action, auth OK)"
"Role-Restricted","/api/kitchen","GET","404","403","SKIP","Kitchen - expected 403"
"Role-Restricted","/api/audittrail","GET","404","403","SKIP","Audit Trail - expected 403"
"VAS Enterprise","/shoperp/api/balance-sheets?year=2026&month=6","GET","200","200","PASS","Balance Sheet (Enterprise) OK - VAS report accessible"
"VAS Enterprise","/shoperp/api/cash-flow-statements?year=2026&month=6","GET","200","200","PASS","Cash Flow (Enterprise) OK - VAS report accessible"
"VAS Enterprise","/shoperp/api/income-statements?year=2026&month=6","GET","200","200","PASS","Income Statement (Enterprise) OK - VAS report accessible"
"VAS Enterprise","/shoperp/api/trial-balances?year=2026&month=6","GET","200","200","PASS","Trial Balance (Enterprise) OK - VAS report accessible"
"Impersonation","/shoperp/api/admin/exit-impersonation","POST","200","200","PASS","Clear tenant_id"
